"Team_name","player_name","position","targets","rz_targets","target_share","rz_target_share","completions","rz_completions","rec_yards","rz_rec_yards","rush_attempts","rz_rush_attempts","rush_share","rz_rush_share","rush_yards","rz_rush_yards","rz_tds","non_rz_tds"
"CAR","M.Evans","TE",2,2,0.059,0.4,1,1,9,9,0,0,0,0,0,0,0,0
"CAR","B.Young","QB",0,0,0,0,0,0,0,0,2,2,0.091,0.4,10,10,1,0
"CAR","Ji.Horn","WR",1,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR","K.Pickett","QB",0,0,0,0,0,0,0,0,1,0,0.045,0,24,0,0,0
"CHI","D.Swift","RB",1,0,0.038,0,1,0,10,0,18,6,0.462,0.6,124,22,2,1
"CHI","K.Monangai","RB",2,0,0.077,0,2,0,24,0,10,1,0.256,0.1,100,-1,0,1
"CHI","C.Williams","QB",0,0,0,0,0,0,0,0,10,3,0.256,0.3,65,15,1,1
"CHI","K.Raymond","WR",9,1,0.346,0.333,8,1,84,7,0,0,0,0,0,0,0,0
"CHI","L.Burden","WR",5,0,0.192,0,5,0,63,0,1,0,0.026,0,2,0,0,0
"CHI","C.Kmet","TE",3,0,0.115,0,2,0,35,0,0,0,0,0,0,0,0,1
"CHI","R.Odunze","WR",3,0,0.115,0,2,0,52,0,0,0,0,0,0,0,0,0
"CHI","C.Loveland","TE",2,1,0.077,0.333,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","J.Walker","WR",1,1,0.038,0.333,1,1,1,1,0,0,0,0,0,0,1,0
"CIN","C.Brown","RB",6,1,0.176,0.167,5,1,22,3,16,5,0.615,0.556,56,18,1,0
"CIN","S.Perine","RB",3,0,0.088,0,3,0,30,0,5,1,0.192,0.111,20,3,0,0
"CIN","M.Gesicki","TE",7,2,0.206,0.333,5,1,78,2,0,0,0,0,0,0,1,0
"CIN","T.Higgins","WR",6,0,0.176,0,3,0,59,0,0,0,0,0,0,0,0,0
"CIN","J.Chase","WR",4,1,0.118,0.167,2,0,12,0,0,0,0,0,0,0,0,0
"CIN","J.Burrow","QB",0,0,0,0,0,0,0,0,4,3,0.154,0.333,21,19,0,0
"CIN","D.Sample","TE",3,1,0.088,0.167,3,1,19,11,0,0,0,0,0,0,0,0
"CIN","A.Iosivas","WR",3,1,0.088,0.167,2,1,12,0,0,0,0,0,0,0,0,0
"CIN","D.Meyers","WR",1,0,0.029,0,1,0,18,0,1,0,0.038,0,10,0,0,0
"CIN","T.Hudson","TE",1,0,0.029,0,1,0,4,0,0,0,0,0,0,0,0,0
"CLE","Q.Judkins","RB",2,0,0.091,0,2,0,17,0,12,2,0.545,0.5,33,5,0,0
"CLE","K.Concepcion","WR",5,0,0.227,0,4,0,43,0,3,0,0.136,0,15,0,0,0
"CLE","D.Watson","QB",0,0,0,0,0,0,0,0,6,2,0.273,0.5,38,15,0,0
"CLE","J.Jeudy","WR",4,0,0.182,0,2,0,26,0,0,0,0,0,0,0,0,0
"CLE","R.Sanders","RB",3,0,0.136,0,3,0,25,0,1,0,0.045,0,1,0,0,0
"CLE","D.Boston","WR",4,1,0.182,1,2,0,59,0,0,0,0,0,0,0,0,1
"CLE","H.Fannin","TE",3,0,0.136,0,2,0,21,0,0,0,0,0,0,0,0,0
"CLE","B.Whiteheart","TE",1,0,0.045,0,1,0,14,0,0,0,0,0,0,0,0,0
"DAL","J.Williams","RB",5,2,0.167,0.4,5,2,31,12,12,3,0.667,0.75,41,2,2,0
"DAL","C.Lamb","WR",8,2,0.267,0.4,5,2,44,16,1,0,0.056,0,0,0,1,0
"DAL","G.Pickens","WR",6,0,0.2,0,3,0,28,0,0,0,0,0,0,0,0,0
"DAL","R.Flournoy","WR",4,0,0.133,0,2,0,22,0,0,0,0,0,0,0,0,0
"DAL","J.Ferguson","TE",2,1,0.067,0.2,2,1,6,0,0,0,0,0,0,0,0,0
"DAL","B.Spann-Ford","TE",2,0,0.067,0,2,0,14,0,0,0,0,0,0,0,0,0
"DAL","D.Prescott","QB",0,0,0,0,0,0,0,0,2,0,0.111,0,14,0,0,0
"DAL","E.Demercado","RB",0,0,0,0,0,0,0,0,2,1,0.111,0.25,7,3,0,0
"DAL","K.Turpin","WR",1,0,0.033,0,1,0,8,0,0,0,0,0,0,0,0,0
"DAL","L.Schoonmaker","TE",1,0,0.033,0,1,0,12,0,0,0,0,0,0,0,0,0
"DAL","J.Mingo","WR",1,0,0.033,0,1,0,10,0,0,0,0,0,0,0,0,0
"DAL","H.Luepke","RB",0,0,0,0,0,0,0,0,1,0,0.056,0,7,0,0,0
"DEN","J.Dobbins","RB",0,0,0,0,0,0,0,0,8,0,0.571,0,36,0,0,0
"DEN","R.Harvey","RB",4,0,0.148,0,4,0,23,0,3,0,0.214,0,18,0,0,0
"DEN","P.Bryant","WR",6,0,0.222,0,4,0,42,0,0,0,0,0,0,0,0,0
"DEN","E.Engram","TE",5,1,0.185,0.5,4,1,43,19,0,0,0,0,0,0,1,0
"DEN","C.Sutton","WR",5,1,0.185,0.5,2,1,11,6,0,0,0,0,0,0,0,0
"DEN","A.Trautman","TE",3,0,0.111,0,2,0,10,0,0,0,0,0,0,0,0,0
"DEN","J.Waddle","WR",3,0,0.111,0,1,0,2,0,0,0,0,0,0,0,0,0
"DEN","T.Franklin","WR",1,0,0.037,0,0,0,0,0,1,0,0.071,0,5,0,0,0
"DEN","B.Nix","QB",0,0,0,0,0,0,0,0,2,1,0.143,1,3,3,0,0
"DET","J.Gibbs","RB",5,0,0.128,0,5,0,30,0,29,8,0.879,0.889,156,20,2,0
"DET","A.St. Brown","WR",14,4,0.359,0.571,10,3,67,27,0,0,0,0,0,0,2,0
"DET","J.Williams","WR",9,1,0.231,0.143,4,1,45,10,0,0,0,0,0,0,0,0
"DET","S.LaPorta","TE",8,2,0.205,0.286,5,1,48,7,0,0,0,0,0,0,0,0
"DET","S.Vaki","RB",1,0,0.026,0,1,0,11,0,2,1,0.061,0.111,7,4,0,0
"DET","J.Goff","QB",0,0,0,0,0,0,0,0,2,0,0.061,0,2,0,0,0
"DET","B.Wright","TE",1,0,0.026,0,1,0,5,0,0,0,0,0,0,0,0,0
"DET","I.TeSlaa","WR",1,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0
"GB","M.Lloyd","RB",1,1,0.025,0.143,0,0,0,0,13,1,0.619,0.333,37,-1,0,0
