"Team_name","player_name","position","targets","rz_targets","target_share","rz_target_share","completions","rz_completions","rec_yards","rz_rec_yards","rush_attempts","rz_rush_attempts","rush_share","rz_rush_share","rush_yards","rz_rush_yards","rz_tds","non_rz_tds"
"LA","K.Mumpfield","WR",1,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA","T.Ferguson","TE",1,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA","M.Stafford","QB",0,0,0,0,0,0,0,0,1,1,0.036,0.143,0,0,0,0
"LA","S.Bennett","QB",0,0,0,0,0,0,0,0,1,0,0.036,0,9,0,0,0
"LAC","O.Hampton","RB",0,0,0,0,0,0,0,0,12,2,0.571,0.286,43,10,1,0
"LAC","L.McConkey","WR",7,2,0.259,0.667,5,1,82,8,0,0,0,0,0,0,1,0
"LAC","Q.Johnston","WR",6,0,0.222,0,2,0,17,0,0,0,0,0,0,0,0,0
"LAC","T.Harris","WR",6,0,0.222,0,3,0,20,0,0,0,0,0,0,0,0,0
"LAC","D.Njoku","TE",5,1,0.185,0.333,5,1,58,6,0,0,0,0,0,0,0,0
"LAC","J.Herbert","QB",0,0,0,0,0,0,0,0,5,3,0.238,0.429,29,14,0,0
"LAC","K.Mitchell","RB",0,0,0,0,0,0,0,0,4,2,0.19,0.286,9,-1,0,0
"LAC","O.Gadsden","TE",2,0,0.074,0,2,0,32,0,0,0,0,0,0,0,0,0
"LAC","D.Davis","WR",1,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0
"LV","A.Jeanty","RB",6,4,0.207,0.5,6,4,45,32,23,3,0.676,0.75,102,10,2,0
"LV","M.Mayer","TE",7,1,0.241,0.125,6,0,32,0,0,0,0,0,0,0,0,0
"LV","M.Washington","RB",0,0,0,0,0,0,0,0,7,1,0.206,0.25,41,-1,0,0
"LV","J.Nailor","WR",5,0,0.172,0,3,0,27,0,0,0,0,0,0,0,0,0
"LV","T.Tucker","WR",4,1,0.138,0.125,2,0,27,0,0,0,0,0,0,0,0,0
"LV","J.Bech","WR",4,2,0.138,0.25,3,2,23,18,0,0,0,0,0,0,1,0
"LV","M.Benson","WR",2,0,0.069,0,1,0,6,0,1,0,0.029,0,-8,0,0,0
"LV","K.Cousins","QB",0,0,0,0,0,0,0,0,2,0,0.059,0,0,0,0,0
"LV","C.White","WR",1,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0
"LV","C.Heyward","RB",0,0,0,0,0,0,0,0,1,0,0.029,0,1,0,0,0
"MIA","D.Achane","RB",5,0,0.185,NA,4,0,30,0,11,3,0.611,0.75,36,10,0,0
"MIA","M.Washington","WR",8,0,0.296,NA,3,0,53,0,0,0,0,0,0,0,0,0
"MIA","C.Douglas","WR",7,0,0.259,NA,5,0,94,0,0,0,0,0,0,0,0,0
"MIA","M.Willis","QB",0,0,0,NA,0,0,0,0,6,1,0.333,0.25,39,14,1,0
"MIA","G.Dulcich","TE",2,0,0.074,NA,2,0,18,0,0,0,0,0,0,0,0,0
"MIA","C.Bell","WR",2,0,0.074,NA,1,0,25,0,0,0,0,0,0,0,0,0
"MIA","K.Coleman","WR",2,0,0.074,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MIA","W.Kacmarek","TE",1,0,0.037,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MIA","J.Wright","RB",0,0,0,NA,0,0,0,0,1,0,0.056,0,-1,0,0,0
"MIN","J.Mason","RB",0,0,0,0,0,0,0,0,15,4,0.484,0.5,59,4,1,0
"MIN","A.Jones","RB",1,0,0.042,0,0,0,0,0,12,4,0.387,0.5,40,8,1,0
"MIN","J.Jefferson","WR",10,3,0.417,0.5,8,2,92,14,0,0,0,0,0,0,1,1
"MIN","T.Hockenson","TE",5,2,0.208,0.333,4,1,36,16,0,0,0,0,0,0,1,0
"MIN","J.Oliver","TE",4,0,0.167,0,2,0,22,0,0,0,0,0,0,0,0,0
"MIN","J.Addison","WR",2,1,0.083,0.167,0,0,0,0,0,0,0,0,0,0,0,0
"MIN","C.Wentz","QB",0,0,0,0,0,0,0,0,2,0,0.065,0,2,0,0,0
"MIN","K.Murray","QB",0,0,0,0,0,0,0,0,2,0,0.065,0,9,0,0,0
"MIN","J.Jennings","WR",1,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIN","D.Dallas","RB",1,0,0.042,0,1,0,1,0,0,0,0,0,0,0,0,0
"NE","R.Stevenson","RB",6,0,0.194,0,5,0,44,0,18,0,0.581,NA,51,0,0,0
"NE","D.Douglas","WR",7,0,0.226,0,5,0,20,0,0,0,0,NA,0,0,0,0
"NE","D.Maye","QB",0,0,0,0,0,0,0,0,7,0,0.226,NA,47,0,0,0
"NE","C.Kiner","RB",0,0,0,0,0,0,0,0,6,0,0.194,NA,11,0,0,0
"NE","M.Hollins","WR",5,1,0.161,0.5,4,0,51,0,0,0,0,NA,0,0,0,0
"NE","A.Brown","WR",4,0,0.129,0,3,0,26,0,0,0,0,NA,0,0,0,0
"NE","H.Henry","TE",3,0,0.097,0,3,0,26,0,0,0,0,NA,0,0,0,0
